Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Analyst rating,Price to earnings ratio forward,"Price to earnings ratio forward Non-GAAP, Annual"
TPC,Tutor Perini Corporation,89.52,USD,1.4850923931527065,299263,0.6986501055458619,4705987439.523864,USD,38.72977416284503,2.3114,USD,,0.306087745153611,Industrial services,Engineering & construction,Strong buy,23.111878064705515,27.516396261925845
BOX,"Box, Inc.",34.3,USD,-2.529127593066214,2419354,0.6111412300626982,4705985880.466041,USD,49.502092654062636,0.6929,USD,-44.34985141755683,0,Technology services,Information technology services,Neutral,21.269523934725505,22.274057930733523
LPX,Louisiana-Pacific Corporation,67.08,USD,-1.5989438169282726,1191313,1.2019153355580243,4690462116.772774,USD,86.95877625097226,0.7714,USD,-81.80231186600614,1.73096670089482,Non-energy minerals,Forest products,Buy,37.9951175027896,62.32908978901213
CRGY,Crescent Energy Company,14.19,USD,3.0501089324618733,7479293,1.5645219644923696,4688428467.962962,USD,,-0.0426,USD,75.98647125140926,3.48583877995643,Energy minerals,Integrated oil,Buy,6.715592526809127,5.995208902821846
HAE,Haemonetics Corporation,102.84,USD,-0.07773027594247793,581588,0.9709698078254836,4678916665.965798,USD,50.160959906350605,2.0502,USD,-37.42522280551826,0,Health technology,Medical specialties,Buy,18.789018180622318,19.41505996221577
CUZ,Cousins Properties Incorporated,28.41,USD,-2.404671934043282,985274,0.7932625091894234,4676344794.353487,USD,726.5984654731458,0.0391,USD,-89.40953412784398,4.39711439367915,Finance,Real estate investment trusts,Strong buy,74.00094812900807,174.02969714789768
BLLN,"BillionToOne, Inc.",99.06,USD,-0.3320253546634453,590287,0.9906792201338379,4674347786.120133,USD,160.78558675539685,0.6161,USD,,0,Health services,Medical/Nursing services,Strong buy,130.73517087559307,125.16599720252859
MEOH,Methanex Corporation,60.39,USD,2.8440054495912834,750713,1.56184893747428,4672028007.463414,USD,54.840333716916,1.1011967999999999,USD,-70.5631769534989,1.25848115299335,Process industries,Chemicals: specialty,Buy,8.216528869622504,6.578380907481629
KBR,"KBR, Inc.",37.04,USD,0.5975013579576287,1904403,1.8883145599492326,4669549667.230852,USD,11.170758188069245,3.3158,USD,13.13634502524907,1.7925040738729,Technology services,Information technology services,Buy,9.042337375857057,9.288657831574866
SFBS,"ServisFirst Bancshares, Inc.",42.7,USD,-0.9969858567122646,593073,1.2473570537561542,4667110245.527474,USD,14.564431407326559,2.9318,USD,28.35690206208134,1.70994667284952,Finance,Regional banks,Strong buy,12.456907705399676,13.282042460854525
TREX,"Trex Company, Inc.",45.78,USD,0.32873109796186406,2307499,1.8289376986270793,4663388443.648914,USD,27.050342708579535,1.6924,USD,-2.511520737327194,0,Non-energy minerals,Forest products,Buy,23.81954586771463,25.888920808630093
BC,Brunswick Corporation,71.95,USD,-3.3319897890635546,708907,1.0139420300924267,4662175248.098885,USD,,-1.3039,USD,-306.24802277760205,2.35120247212146,Producer manufacturing,Trucks/Construction/Farm machinery,Buy,14.572972412421398,15.784812312109727
PJT,PJT Partners Inc.,182.13,USD,-0.3283533081595766,206812,0.5322959826339504,4656143584.500411,USD,37.802777143568775,4.8179,USD,-17.272227755074013,0.547255513599299,Finance,Investment banks/Brokers,Buy,21.674636724020218,22.783816322384556
WAY,Waystar Holding Corp.,24.24,USD,-3.3107299561228634,1650402,0.6905150112777566,4647981846.414041,USD,34.51516445963263,0.7023,USD,47.41813602015114,0,Technology services,Packaged software,Strong buy,13.957457393479379,14.518421445098026
ESAB,ESAB Corporation,74.74,USD,-0.37323380431884984,526938,0.738309517831362,4646421801.391362,USD,26.922661287417597,2.7761,USD,-33.636928667049155,0.559850706478273,Producer manufacturing,Industrial machinery,Strong buy,12.557942285216171,13.70257564054591
CVI,CVR Energy Inc.,46.12,USD,3.6404494382022414,1197469,1.1656813362334484,4636471341.439101,USD,67.17157005534517,0.6866,USD,,0.449438202247191,Energy minerals,Oil refining/Marketing,Sell,18.568614290988545,121.72205565643341
CECO,CECO Environmental Corp.,79.13,USD,6.788124156545211,641636,1.0402616720911475,4634630396.947908,USD,,-0.6896,USD,-148.1732448480615,0,Producer manufacturing,Industrial machinery,Strong buy,30.00137248791111,34.75765180062909
DK,"Delek US Holdings, Inc.",75.67,USD,5.301976064570001,3184511,1.8995150750709981,4633438639.602699,USD,21.27414321459698,3.5569,USD,,1.41942666295575,Energy minerals,Oil refining/Marketing,Buy,6.609572376302425,6.0852799675108615
BOOT,"Boot Barn Holdings, Inc.",152.6,USD,-1.0953399442608063,363923,0.6771197121855611,4621466908.802903,USD,19.307168703661528,7.9038,USD,24.691182734630132,0,Retail trade,Apparel/Footwear retail,Strong buy,16.85755695777436,16.622631942141037
NSIT,"Insight Enterprises, Inc.",157.34,USD,-2.2611504534724727,315837,1.3524999261308088,4617747975.921978,USD,23.02918532829835,6.8322,USD,63.02464864348947,0,Technology services,Information technology services,Buy,12.482348274494248,12.584683063387324
BIPC,Brookfield Infrastructure Corporation,37.5,USD,0.4016064257028074,1296288,1.0809107952243362,4612149908.634539,USD,,-2.5793,USD,70.10096560677896,4.80589022757697,Utilities,Gas distributors,Strong sell,20.949720670391063,
REYN,Reynolds Consumer Products Inc.,21.87,USD,0.09153318077803008,2057335,1.2336749082959733,4609998924.775744,USD,13.381057268722467,1.6344,USD,10.641754670999187,4.21052631578947,Consumer non-durables,Household/Personal care,Neutral,13.478193613912305,13.56917767805125
SKY,"Champion Homes, Inc.",84.58,USD,-3.6235186873290868,324544,0.6238824022886555,4591013701.106197,USD,24.751982675368,3.4171,USD,-9.030162660064423,0,Consumer durables,Homebuilding,Buy,22.85726639741322,24.31753211262657
UFPI,"UFP Industries, Inc.",83.22,USD,-1.3747333491348621,338268,0.9959959119966292,4590539164.070159,USD,19.189706458828137,4.3367,USD,-24.041476187974,1.68286323773406,Non-energy minerals,Forest products,Buy,16.196963799143635,18.387096774193548
EPR,EPR Properties,59.9,USD,-0.15002500416736692,850796,1.1470111778840968,4588874727.569594,USD,19.220895905532025,3.1164,USD,53.04228257133035,6.00100016669445,Finance,Real estate investment trusts,Buy,19.846233108751726,19.555499257772496
TDW,Tidewater Inc.,92,USD,-2.397623594313606,725793,1.1861436558352523,4577573208.996392,USD,18.60126569481793,4.9459,USD,28.27169458996836,0,Transportation,Marine shipping,Buy,17.383283063523994,32.02817365257996
MARA,"MARA Holdings, Inc.",11.83,USD,4.5977011494252835,53474725,1.2032228239882332,4569921082.999999,USD,,-9.1605,USD,-920.6127385111531,0,Technology services,Data processing services,Buy,,
